Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,0,1,2,3,4,5,6,7
28-1-58751-443-6,1,443,28,58751,6,27/09/2021 02:57:58 pm,136566701,-9996118.159,-20385322.73,4636187.014,-8276299.354,-1819655.562,-1168127.697,-511788.1457
28-2-54463-443-6,2,443,28,54463,6,27/09/2021 02:58:01 pm,137479698.1,-10222200.7,-21412134.69,15033454.61,-7785944.807,-1736307.419,-1124162.21,-493209.973
28-3-49579-443-6,3,443,28,49579,6,27/09/2021 02:57:56 pm,134767388.8,-9550566.205,-18361827.83,-15850988.83,-9242597.665,-1983613.57,-1254721.667,-548435.2029
25-4-60658-80-6,4,80,25,60658,6,27/09/2021 03:48:14 pm,134741012.7,-9544013.623,-18331934.44,-16156842.5,-9257051.859,-1986377.654,-1256091.313,-548963.4321
26-5-54987-443-6,5,443,26,54987,6,27/09/2021 03:30:37 pm,136566701,-9996118.159,-20385322.73,4636187.013,-8276299.355,-1819655.563,-1168127.699,-511788.1437
28-6-52684-443-6,6,443,28,52684,6,27/09/2021 03:20:01 pm,137479698.1,-10222200.7,-21412134.69,15033454.61,-7785944.808,-1736307.421,-1124162.211,-493209.9711
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 02:57:21 pm,-51510395.83,85020725.06,-87224656.96,-7558917.767,42095668.45,8450632.183,88501058.25,24967047.75
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 02:59:33 pm,45759970.29,37033943.37,-48770846.86,-12223167.23,25778866.86,3394770.875,31692862.28,9378952.875
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:02:26 pm,-58187369.82,92930646.38,-85992951.33,-7470230.553,58866680.67,11062337.49,82331704.07,22277848.87
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:08:27 pm,-75552801.36,105095732.2,-95232681.02,-6401313.484,50460609.46,14814974.68,112369377.4,26827147.5
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:12:45 pm,17844763.93,87151714.74,-50920017.76,-9178710.548,42257763.61,-6800194.344,-4246456.557,39160437.41
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:19:27 pm,134493495.7,-9470011.892,-18465400.73,-16156307.12,-9099399.269,-1923938.791,-1200825.971,-397064.3948
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:21:29 pm,-52316777.68,155697540.2,-67776823.8,-7327005.201,129083571.8,-10830779.11,-22651209.01,46763108.95
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:24:16 pm,-11014645.86,59341100.89,-17062136.94,-539027.5307,-37040762.22,-4355190.15,-7847867.933,20857598.62
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:27:24 pm,-90887318.25,46755247.13,-2607105.256,6968723.334,-30891163.04,115617973.6,-40298792.41,7230196.46
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:35:01 pm,-56998477.1,148985051.6,-72028851.99,-4731298.956,75160276.35,-9849301.675,-6203757.597,64747780.55
7-26-6568-62751-6,7,6568,26,62751,6,27/09/2021 03:45:25 pm,-42698530.85,80661122.69,-83583554.93,-7938450.428,40026179.02,7922117.486,83842412.84,23822191.3
